name,left,top,right,bottom,nose_x,nose_y,left_eye_x,left_eye_y,right_eye_x,right_eye_y,left_ear_x,left_ear_y,right_ear_x,right_ear_y,left_shoulder_x,left_shoulder_y,right_shoulder_x,right_shoulder_y,left_elbow_x,left_elbow_y,right_elbow_x,right_elbow_y,left_wrist_x,left_wrist_y,right_wrist_x,right_wrist_y,left_hip_x,left_hip_y,right_hip_x,right_hip_y,left_knee_x,left_knee_y,right_knee_x,right_knee_y,left_ankle_x,left_ankle_y,right_ankle_x,right_ankle_y
phone (1).mp4,397.0,410.0,569.0,1088.0,426.34595,478.25143,434.83347,467.11896,0.0,0.0,473.7351,467.67892,0.0,0.0,504.13962,528.9676,488.67865,545.6123,498.5063,550.61975,470.41086,651.92255,458.3466,484.59967,445.7613,723.4762,512.26953,739.0079,507.61624,739.5548,476.71295,885.54736,517.90137,887.72546,484.25107,1047.4675,535.0252,1029.6241
phone (1).mp4,400.0,410.0,569.0,1090.0,430.6213,477.02563,438.28995,464.1057,0.0,0.0,478.80954,464.30383,0.0,0.0,507.0354,530.11,483.29675,544.11194,501.19272,560.9197,473.7052,638.2663,462.7979,493.19595,443.81146,721.25806,513.67474,737.7733,502.42487,738.4923,477.6109,885.42316,513.41284,890.35565,487.9953,1046.6239,529.23364,1040.2437
phone (1).mp4,400.0,408.0,569.0,1092.0,433.65332,472.61725,441.77005,459.65762,0.0,0.0,479.36432,461.4841,0.0,0.0,507.80725,529.77686,478.61142,543.99426,513.85736,565.3116,473.77722,638.96783,467.68927,493.74573,438.96936,718.69885,515.6802,736.9316,501.26947,737.7619,478.01123,882.33167,513.8338,888.7524,495.61505,1046.3215,531.0247,1038.8645
phone (1).mp4,385.0,402.0,572.0,1098.0,434.76315,470.05408,445.04608,457.51456,428.5663,461.10104,482.6601,460.00897,0.0,0.0,510.02756,528.7965,468.81738,546.05005,537.87756,568.33923,467.82385,645.4503,482.02972,500.87,419.46735,720.8996,516.2224,736.1489,495.12543,737.69165,482.61456,880.34235,512.9756,887.0528,505.72888,1047.293,533.6961,1031.2749
phone (1).mp4,374.0,401.0,574.0,1098.0,434.89774,468.8954,445.99573,456.45404,429.01068,459.17798,483.1164,459.59198,0.0,0.0,510.8916,530.8472,463.03156,547.6883,544.66895,569.97986,459.35788,648.74664,488.2162,499.87912,408.86682,726.6307,517.6072,739.8673,492.8802,741.2484,488.56293,884.0407,511.27505,889.90015,508.0642,1047.1143,535.11536,1027.2175
phone (1).mp4,370.0,400.0,577.0,1100.0,435.8368,467.09015,448.05304,455.14334,430.26022,457.02438,485.46268,459.61176,0.0,0.0,514.1633,530.3246,457.06537,547.23267,554.1729,569.6974,451.3818,650.46106,495.9748,498.63934,401.68585,729.31024,517.0471,739.8572,486.6361,740.8639,491.78656,885.4927,509.40024,889.6412,509.37222,1048.7822,535.23175,1022.0874
phone (1).mp4,367.0,399.0,582.0,1106.0,438.34094,467.21368,451.09726,454.809,431.65186,456.8759,486.7022,459.0706,0.0,0.0,515.93604,530.97644,448.398,548.5538,559.54987,570.2628,441.268,651.1256,500.80527,496.77557,396.9994,733.0054,516.9885,740.91943,479.85767,742.5486,495.06195,887.83575,503.00195,893.60394,511.26007,1052.1672,533.2756,1024.8875
phone (1).mp4,363.0,398.0,588.0,1111.0,438.93097,467.1432,452.2252,454.51965,431.8246,456.54742,487.92548,458.29578,0.0,0.0,518.8884,530.9243,441.8479,548.5287,563.541,570.7036,435.43607,650.9943,505.12372,496.0447,393.18738,734.39075,517.39514,741.784,473.93323,743.285,499.99832,891.96936,497.31335,896.5698,509.6369,1059.6084,533.1017,1028.0419
phone (1).mp4,360.0,397.0,599.0,1113.0,438.74973,465.37656,452.24533,453.25616,432.48077,455.54175,487.74158,456.7207,0.0,0.0,526.9498,530.8879,431.92065,548.066,572.9127,571.8555,429.6219,651.7863,509.52545,495.04916,386.22437,742.2852,522.9266,745.6155,466.5241,747.038,504.4106,894.8663,480.4887,905.2235,504.8259,1061.4541,531.40625,1024.8423
phone (1).mp4,362.0,395.0,603.0,1113.0,439.51788,463.19324,454.13287,451.62708,433.5805,453.7265,489.7122,458.1589,0.0,0.0,529.2522,532.40283,427.2194,551.2901,577.14575,569.3108,427.81323,652.0927,513.26086,493.60516,386.2003,742.5672,523.50415,747.3895,461.32916,749.2542,503.6435,892.526,466.9943,903.7051,505.96756,1056.364,524.71436,1013.25934
