name,left,top,right,bottom,nose_x,nose_y,left_eye_x,left_eye_y,right_eye_x,right_eye_y,left_ear_x,left_ear_y,right_ear_x,right_ear_y,left_shoulder_x,left_shoulder_y,right_shoulder_x,right_shoulder_y,left_elbow_x,left_elbow_y,right_elbow_x,right_elbow_y,left_wrist_x,left_wrist_y,right_wrist_x,right_wrist_y,left_hip_x,left_hip_y,right_hip_x,right_hip_y,left_knee_x,left_knee_y,right_knee_x,right_knee_y,left_ankle_x,left_ankle_y,right_ankle_x,right_ankle_y
running (1).mp4,18.0,21.0,53.0,101.0,50.6682,30.777824,0.0,0.0,49.82885,29.216034,0.0,0.0,45.507843,29.826065,40.3068,38.125618,37.885143,37.299095,34.784798,48.959152,28.604767,47.140373,38.680096,56.754036,28.508556,61.323986,26.844881,60.149517,25.42046,59.637054,30.317356,79.15465,29.720486,79.23116,23.266653,94.79219,21.93074,95.93471
running (1).mp4,9.0,21.0,58.0,101.0,54.739925,30.441372,0.0,0.0,53.72609,29.115105,0.0,0.0,49.1652,29.310194,45.315727,38.152096,42.619602,37.245377,41.844536,49.07842,31.916935,47.214916,45.200768,56.457787,30.026552,60.136803,32.155506,60.460083,30.529245,59.52796,35.09905,79.995346,34.15043,78.54701,21.80914,94.90339,17.324928,91.11136
running (1).mp4,19.0,20.0,63.0,99.0,59.23144,31.302788,0.0,0.0,58.611317,29.91352,0.0,0.0,54.659275,29.567974,49.849785,37.760303,47.441338,37.26493,46.439613,48.31446,36.233273,46.803383,51.325256,54.46111,33.198967,58.684074,36.542194,59.297775,35.279556,59.013885,40.854866,78.14163,38.48223,79.703545,28.775246,91.31529,24.733727,91.07434
running (1).mp4,19.0,18.0,68.0,99.0,63.85207,28.807755,0.0,0.0,62.705006,27.30988,0.0,0.0,58.08189,27.361534,55.53897,37.600792,51.137035,33.966934,53.078995,46.42241,38.183884,40.273655,56.804802,51.770332,37.308285,53.773552,41.064095,59.63603,40.029537,58.064995,38.700283,78.546524,49.659748,76.415184,26.52579,90.94803,37.34333,90.508194
running (1).mp4,19.0,17.0,73.0,99.0,70.172,27.896065,0.0,0.0,69.62262,26.313675,0.0,0.0,65.07227,26.241829,62.392124,36.63672,55.60923,33.250965,58.12587,45.789635,44.024216,38.27261,62.210342,50.191452,41.856766,51.24984,48.848705,57.68079,42.981678,56.183662,56.391968,75.12097,40.039955,76.476814,45.791016,92.28252,25.118208,90.870766
running (1).mp4,22.0,16.0,79.0,99.0,76.07427,26.925295,0.0,0.0,74.78912,25.284424,0.0,0.0,69.86961,25.058147,65.957375,34.75285,62.866314,31.377747,61.858177,43.46846,48.844215,36.331787,66.92844,48.686634,46.656002,50.57329,50.032864,56.28765,51.574627,55.154503,43.643265,73.98124,63.93736,72.75133,29.761946,87.89827,58.105072,92.382515
running (1).mp4,26.0,15.0,84.0,101.0,79.67249,27.499268,0.0,0.0,78.749596,25.908112,0.0,0.0,74.60426,24.984535,71.34944,34.43612,67.52268,30.96917,65.60943,42.614,54.98717,37.220383,71.15747,48.039406,55.17215,52.597702,56.5179,56.96913,57.967133,55.738335,48.080772,74.11121,69.47512,73.524185,33.364365,85.96852,68.29642,94.45625
running (1).mp4,31.0,15.0,90.0,102.0,85.99574,27.055283,0.0,0.0,85.17561,25.358074,0.0,0.0,80.85342,24.94516,78.43553,35.528984,72.93294,31.418854,75.21189,44.502068,61.58575,38.646645,80.80623,43.422443,62.29662,53.36738,64.71603,57.247093,62.850685,55.778885,61.95112,74.73524,67.78227,74.69704,47.368614,88.54832,59.58001,93.91122
running (1).mp4,38.0,16.0,95.0,103.0,90.97074,28.36481,0.0,0.0,90.25128,26.807178,0.0,0.0,86.30062,25.87693,82.48777,34.386147,79.04294,32.791157,76.912,43.253307,69.01588,41.918575,81.90085,51.199688,67.58706,56.075867,68.77433,57.212334,70.0494,56.980274,62.618896,74.73435,79.653946,75.69028,44.84043,84.398125,78.15683,97.355835
running (1).mp4,46.0,17.0,100.0,104.0,97.83334,27.551353,0.0,0.0,96.84128,25.843048,0.0,0.0,92.283035,25.601532,87.545,34.89358,85.45671,34.242844,81.03317,46.097176,78.321396,45.437828,86.471016,56.288506,83.02803,54.720234,73.77037,58.889587,75.00779,58.855152,72.43284,77.692276,84.58925,77.75135,52.646652,83.90791,80.27221,99.49505
