name,left,top,right,bottom,nose_x,nose_y,left_eye_x,left_eye_y,right_eye_x,right_eye_y,left_ear_x,left_ear_y,right_ear_x,right_ear_y,left_shoulder_x,left_shoulder_y,right_shoulder_x,right_shoulder_y,left_elbow_x,left_elbow_y,right_elbow_x,right_elbow_y,left_wrist_x,left_wrist_y,right_wrist_x,right_wrist_y,left_hip_x,left_hip_y,right_hip_x,right_hip_y,left_knee_x,left_knee_y,right_knee_x,right_knee_y,left_ankle_x,left_ankle_y,right_ankle_x,right_ankle_y
walking (174).mp4,1.0,9.0,38.0,104.0,29.232714,19.775146,0.0,0.0,28.200357,18.094479,0.0,0.0,23.772478,17.58994,22.643421,28.083118,19.976519,28.770756,0.0,0.0,19.431015,44.684555,0.0,0.0,20.763271,59.618427,21.36681,55.87682,21.310362,57.264065,21.53506,74.34497,26.341934,78.4609,8.477644,88.7999,27.014532,98.61872
walking (174).mp4,5.0,8.0,37.0,103.0,31.812862,18.83202,0.0,0.0,30.847977,17.185287,0.0,0.0,26.525513,17.40551,23.450562,27.910511,22.745281,28.639671,0.0,0.0,21.882545,44.455986,0.0,0.0,22.841757,59.453297,22.714699,55.74437,23.394695,56.973747,24.70168,74.388885,27.258541,77.56181,12.048219,87.952835,27.133533,98.57086
walking (174).mp4,9.0,8.0,38.0,104.0,34.027794,18.750458,0.0,0.0,33.344734,17.125881,0.0,0.0,29.24236,17.110893,23.913742,26.914474,25.092503,28.11465,0.0,0.0,25.130527,43.95826,0.0,0.0,26.759792,58.50345,22.001171,55.517536,23.517693,56.873962,25.444885,74.131996,26.935318,78.464905,14.093649,88.81375,25.80471,98.77821
walking (174).mp4,13.0,8.0,39.0,104.0,35.597176,18.573624,0.0,0.0,34.54222,16.790161,0.0,0.0,29.797783,16.575691,26.799007,27.383842,26.273552,27.886166,0.0,0.0,26.65107,43.47827,0.0,0.0,29.04981,57.67574,25.258102,55.668602,25.380747,56.815903,28.52874,74.12503,28.812908,78.31036,17.690546,88.395164,26.035107,98.29109
walking (174).mp4,19.0,8.0,41.0,104.0,38.49498,17.50319,0.0,0.0,37.468315,15.766243,0.0,0.0,32.752846,16.472881,28.5635,26.503462,29.41394,27.299753,0.0,0.0,28.259102,43.172127,0.0,0.0,30.608135,58.444992,26.71463,56.312107,27.17321,56.864403,28.692451,77.476974,28.452454,78.17438,26.913734,96.540016,25.224648,99.80592
walking (174).mp4,21.0,8.0,43.0,104.0,40.226562,18.059158,0.0,0.0,39.20279,16.336597,0.0,0.0,34.219322,16.562416,29.174923,26.074106,31.955336,27.326675,0.0,0.0,32.912674,43.80604,0.0,0.0,35.396355,58.708122,27.777897,55.85408,29.190079,56.556717,31.006208,76.99961,30.43401,78.481766,28.940567,96.93382,26.685116,99.577705
walking (174).mp4,22.0,8.0,45.0,104.0,42.431843,18.378105,0.0,0.0,41.601326,16.616318,0.0,0.0,36.77891,16.617157,31.836699,26.190798,33.18904,28.05141,0.0,0.0,34.681595,44.12049,0.0,0.0,38.436638,58.29116,31.09869,54.60201,30.950195,56.29152,38.121918,73.80559,30.026379,77.74994,32.946297,94.154,26.49411,99.01733
walking (174).mp4,22.0,9.0,52.0,103.0,44.099625,19.242992,0.0,0.0,43.091805,17.553185,0.0,0.0,38.458076,17.815598,32.282738,27.163544,36.30706,28.49469,0.0,0.0,36.475018,45.59179,0.0,0.0,42.213207,58.238804,31.170345,56.87677,35.435112,57.453712,29.438084,78.28504,42.99917,76.26324,25.631872,98.04852,43.02359,95.43032
walking (174).mp4,22.0,9.0,59.0,102.0,46.683968,19.520794,0.0,0.0,46.016144,17.946259,0.0,0.0,42.069077,18.323853,35.103325,27.424904,38.140602,28.936043,0.0,0.0,38.599453,45.656246,0.0,0.0,44.545208,57.97153,33.57451,56.75233,37.46436,57.417053,30.68833,78.069626,44.684483,78.545456,26.41379,97.40883,48.98282,96.41301
walking (174).mp4,23.0,9.0,62.0,102.0,49.53071,19.853077,0.0,0.0,48.501,18.305618,0.0,0.0,43.603664,18.969646,36.441284,27.474236,40.61821,30.122972,0.0,0.0,42.54583,46.55535,0.0,0.0,48.403534,57.87345,34.62797,57.004276,39.393982,58.155994,31.441692,77.347244,45.819744,76.87845,26.3473,96.22676,51.901127,94.31499
