                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3372,                 2.1478,                 1.3223,                0.47107,                0.55286,                0.51587,                0.32008,                 1.3483,                 2.3738,                 1.4495,             0.00047215,             0.00047215,             0.00047215
                      2,                 1.3752,                 1.7812,                 1.3262,                0.53983,                0.42502,                0.43998,                0.25513,                 1.4617,                 2.0319,                 1.4279,             0.00092501,             0.00092501,             0.00092501
                      3,                 1.4031,                 1.7344,                 1.3583,                 0.5307,                0.53417,                 0.5339,                0.34023,                 1.2904,                 1.7383,                 1.3695,              0.0013543,              0.0013543,              0.0013543
                      4,                 1.3751,                  1.624,                 1.3305,                0.52384,                 0.6136,                0.59542,                0.37076,                 1.3441,                 1.4953,                 1.3518,              0.0013229,              0.0013229,              0.0013229
                      5,                 1.3829,                 1.5589,                  1.345,                0.57093,                0.57184,                0.57728,                0.34316,                 1.3432,                  1.514,                 1.3956,              0.0013229,              0.0013229,              0.0013229
                      6,                  1.335,                 1.5162,                 1.3257,                0.61682,                0.58414,                0.64855,                0.41822,                 1.3476,                 1.5004,                 1.3817,              0.0012875,              0.0012875,              0.0012875
                      7,                  1.337,                  1.455,                 1.3251,                0.72563,                0.62242,                0.71798,                0.45779,                 1.2734,                  1.294,                 1.3412,              0.0012522,              0.0012522,              0.0012522
                      8,                 1.3026,                 1.3846,                 1.2884,                0.66088,                 0.5754,                0.65965,                0.40847,                  1.297,                 1.4938,                 1.3259,              0.0012168,              0.0012168,              0.0012168
                      9,                 1.2805,                 1.3437,                 1.2833,                0.69529,                0.66007,                0.72707,                 0.4579,                 1.2971,                 1.2667,                 1.3816,              0.0011814,              0.0011814,              0.0011814
                     10,                 1.2732,                 1.2985,                 1.2779,                0.69495,                0.63144,                0.71476,                0.46936,                 1.2555,                 1.2057,                 1.3235,              0.0011461,              0.0011461,              0.0011461
                     11,                 1.2624,                  1.301,                 1.2728,                 0.7737,                0.69627,                0.77911,                0.50591,                 1.2171,                 1.0553,                 1.2793,              0.0011107,              0.0011107,              0.0011107
                     12,                 1.2477,                 1.2616,                 1.2612,                0.73106,                0.69259,                0.74266,                0.50927,                 1.2146,                 1.0915,                 1.3059,              0.0010753,              0.0010753,              0.0010753
