                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5372,                 3.1685,                 1.2877,                0.00858,                0.58503,                0.20354,                0.12602,                 1.3084,                 3.2292,                 1.0585,              5.001e-05,              5.001e-05,              5.001e-05
                      2,                 1.3993,                 2.9581,                 1.1829,                0.01018,                0.70963,                0.37816,                0.24427,                 1.2767,                 3.1701,                 1.0308,             0.00010514,             0.00010514,             0.00010514
                      3,                 1.3624,                 2.3687,                 1.1258,                0.01024,                0.71872,                0.35773,                0.24763,                  1.272,                 3.0185,                 1.0368,             0.00014706,             0.00014706,             0.00014706
                      4,                 1.3503,                 1.9532,                 1.1356,                0.89832,                0.14256,                0.36655,                0.25604,                 1.2425,                 2.7661,                 1.0438,             0.00017579,             0.00017579,             0.00017579
                      5,                  1.252,                 1.9345,                  1.083,                0.91978,                0.19032,                0.36609,                 0.2573,                 1.2757,                 2.6519,                 1.0626,              0.0001913,              0.0001913,              0.0001913
                      6,                 1.2675,                 1.8186,                 1.0807,                0.91292,                0.21561,                0.37378,                0.25471,                 1.2999,                 2.5788,                  1.082,             0.00019362,             0.00019362,             0.00019362
                      7,                 1.2153,                 1.7296,                 1.0804,                0.91336,                0.21689,                0.38422,                0.26159,                 1.2996,                 2.5385,                 1.0878,             0.00018274,             0.00018274,             0.00018274
                      8,                 1.1887,                 1.7199,                 1.0393,                0.41964,                 0.2374,                 0.3852,                0.26912,                 1.2966,                 2.5216,                 1.0792,             0.00015865,             0.00015865,             0.00015865
                      9,                 1.1613,                 1.7253,                 1.0433,                0.41762,                0.23636,                0.38539,                0.27084,                 1.2853,                  2.505,                 1.0748,             0.00012136,             0.00012136,             0.00012136
                     10,                 1.1853,                 1.6739,                 1.0138,                0.47997,                0.26578,                0.38594,                0.26934,                 1.2908,                 2.4817,                 1.0755,             7.0864e-05,             7.0864e-05,             7.0864e-05
